division,date,unemployment
"Dallas-Plano-Irving, TX Met Div",2009-08-01,81.0
"Dallas-Plano-Irving, TX Met Div",2009-09-01,82.0
"Dallas-Plano-Irving, TX Met Div",2009-10-01,82.0
"Dallas-Plano-Irving, TX Met Div",2009-11-01,82.0
"Dallas-Plano-Irving, TX Met Div",2009-12-01,83.0
"Dallas-Plano-Irving, TX Met Div",2010-01-01,83.0
"Dallas-Plano-Irving, TX Met Div",2010-02-01,83.0
"Dallas-Plano-Irving, TX Met Div",2010-03-01,83.0
"Dallas-Plano-Irving, TX Met Div",2010-04-01,83.0
"Dallas-Plano-Irving, TX Met Div",2010-05-01,82.0
"Dallas-Plano-Irving, TX Met Div",2010-06-01,81.0
"Dallas-Plano-Irving, TX Met Div",2010-07-01,81.0
"Dallas-Plano-Irving, TX Met Div",2010-08-01,81.0
"Dallas-Plano-Irving, TX Met Div",2010-09-01,81.0
"Dallas-Plano-Irving, TX Met Div",2010-10-01,81.0
"Dallas-Plano-Irving, TX Met Div",2010-11-01,82.0
"Dallas-Plano-Irving, TX Met Div",2010-12-01,81.0
"Dallas-Plano-Irving, TX Met Div",2011-01-01,81.0
"Dallas-Plano-Irving, TX Met Div",2011-02-01,80.0
"Dallas-Plano-Irving, TX Met Div",2011-03-01,80.0
"Dallas-Plano-Irving, TX Met Div",2011-04-01,80.0
"Dallas-Plano-Irving, TX Met Div",2011-05-01,80.0
"Dallas-Plano-Irving, TX Met Div",2011-06-01,80.0
"Dallas-Plano-Irving, TX Met Div",2011-07-01,80.0
"Dallas-Plano-Irving, TX Met Div",2011-08-01,79.0
"Dallas-Plano-Irving, TX Met Div",2011-09-01,78.0
"Dallas-Plano-Irving, TX Met Div",2011-10-01,77.0
"Dallas-Plano-Irving, TX Met Div",2011-11-01,75.0
"Dallas-Plano-Irving, TX Met Div",2011-12-01,73.0
"Dallas-Plano-Irving, TX Met Div",2012-01-01,72.0
"Dallas-Plano-Irving, TX Met Div",2012-02-01,71.0
"Dallas-Plano-Irving, TX Met Div",2012-03-01,71.0
"Dallas-Plano-Irving, TX Met Div",2012-04-01,70.0
"Dallas-Plano-Irving, TX Met Div",2012-05-01,70.0
"Dallas-Plano-Irving, TX Met Div",2012-06-01,69.0
"Dallas-Plano-Irving, TX Met Div",2012-07-01,68.0
"Dallas-Plano-Irving, TX Met Div",2012-08-01,66.0
"Dallas-Plano-Irving, TX Met Div",2012-09-01,65.0
"Dallas-Plano-Irving, TX Met Div",2012-10-01,63.0
"Dallas-Plano-Irving, TX Met Div",2012-11-01,62.0
"Dallas-Plano-Irving, TX Met Div",2012-12-01,61.0
"Dallas-Plano-Irving, TX Met Div",2013-01-01,62.0
"Dallas-Plano-Irving, TX Met Div",2013-02-01,63.0
"Dallas-Plano-Irving, TX Met Div",2013-03-01,63.0
"Dallas-Plano-Irving, TX Met Div",2013-04-01,63.0
"Dallas-Plano-Irving, TX Met Div",2013-05-01,64.0
"Dallas-Plano-Irving, TX Met Div",2013-06-01,64.0
"Dallas-Plano-Irving, TX Met Div",2013-07-01,62.0
"Dallas-Plano-Irving, TX Met Div",2013-08-01,61.0
"Dallas-Plano-Irving, TX Met Div",2013-09-01,60.0
"Dallas-Plano-Irving, TX Met Div",2013-10-01,60.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-01-01,41.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-02-01,41.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-03-01,42.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-04-01,42.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-05-01,43.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-06-01,43.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-07-01,43.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-08-01,43.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-09-01,44.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-10-01,45.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-11-01,47.0
"Detroit-Livonia-Dearborn, MI Met Div",2000-12-01,50.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-01-01,53.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-02-01,56.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-03-01,57.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-04-01,57.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-05-01,57.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-06-01,57.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-07-01,58.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-08-01,60.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-09-01,63.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-10-01,67.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-11-01,70.0
"Detroit-Livonia-Dearborn, MI Met Div",2001-12-01,72.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-01-01,73.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-02-01,73.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-03-01,73.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-04-01,73.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-05-01,72.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-06-01,72.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-07-01,71.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-08-01,71.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-09-01,71.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-10-01,73.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-11-01,75.0
"Detroit-Livonia-Dearborn, MI Met Div",2002-12-01,78.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-01-01,81.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-02-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-03-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-04-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-05-01,88.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-06-01,88.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-07-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-08-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-09-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-10-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-11-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2003-12-01,82.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-01-01,81.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-02-01,81.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-03-01,82.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-04-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-05-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-06-01,85.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-07-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-08-01,88.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-09-01,90.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-10-01,91.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-11-01,91.0
"Detroit-Livonia-Dearborn, MI Met Div",2004-12-01,91.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-01-01,91.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-02-01,90.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-03-01,89.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-04-01,88.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-05-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-06-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-07-01,85.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-08-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-09-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-10-01,85.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-11-01,85.0
"Detroit-Livonia-Dearborn, MI Met Div",2005-12-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-01-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-02-01,82.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-03-01,82.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-04-01,81.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-05-01,82.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-06-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-07-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-08-01,85.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-09-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-10-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-11-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2006-12-01,85.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-01-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-02-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-03-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-04-01,83.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-05-01,84.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-06-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-07-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-08-01,89.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-09-01,90.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-10-01,90.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-11-01,89.0
"Detroit-Livonia-Dearborn, MI Met Div",2007-12-01,88.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-01-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-02-01,86.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-03-01,87.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-04-01,88.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-05-01,91.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-06-01,94.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-07-01,97.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-08-01,100.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-09-01,105.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-10-01,111.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-11-01,119.0
"Detroit-Livonia-Dearborn, MI Met Div",2008-12-01,127.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-01-01,137.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-02-01,145.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-03-01,153.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-04-01,159.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-05-01,163.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-06-01,167.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-07-01,169.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-08-01,170.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-09-01,169.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-10-01,167.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-11-01,166.0
"Detroit-Livonia-Dearborn, MI Met Div",2009-12-01,164.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-01-01,162.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-02-01,160.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-03-01,157.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-04-01,154.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-05-01,151.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-06-01,148.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-07-01,145.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-08-01,143.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-09-01,141.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-10-01,140.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-11-01,137.0
"Detroit-Livonia-Dearborn, MI Met Div",2010-12-01,135.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-01-01,132.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-02-01,130.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-03-01,129.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-04-01,129.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-05-01,129.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-06-01,129.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-07-01,128.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-08-01,127.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-09-01,124.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-10-01,122.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-11-01,119.0
"Detroit-Livonia-Dearborn, MI Met Div",2011-12-01,117.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-01-01,115.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-02-01,114.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-03-01,114.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-04-01,114.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-05-01,115.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-06-01,116.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-07-01,117.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-08-01,117.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-09-01,118.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-10-01,118.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-11-01,119.0
"Detroit-Livonia-Dearborn, MI Met Div",2012-12-01,120.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-01-01,120.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-02-01,118.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-03-01,114.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-04-01,110.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-05-01,107.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-06-01,107.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-07-01,105.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-08-01,105.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-09-01,105.0
"Detroit-Livonia-Dearborn, MI Met Div",2013-10-01,104.0
"Detroit-Warren-Livonia, MI MSA",2000-01-01,35.0
"Detroit-Warren-Livonia, MI MSA",2000-02-01,35.0
"Detroit-Warren-Livonia, MI MSA",2000-03-01,35.0
"Detroit-Warren-Livonia, MI MSA",2000-04-01,35.0
"Detroit-Warren-Livonia, MI MSA",2000-05-01,36.0
"Detroit-Warren-Livonia, MI MSA",2000-06-01,37.0
"Detroit-Warren-Livonia, MI MSA",2000-07-01,38.0
"Detroit-Warren-Livonia, MI MSA",2000-08-01,38.0
"Detroit-Warren-Livonia, MI MSA",2000-09-01,38.0
"Detroit-Warren-Livonia, MI MSA",2000-10-01,38.0
"Detroit-Warren-Livonia, MI MSA",2000-11-01,39.0
"Detroit-Warren-Livonia, MI MSA",2000-12-01,42.0
"Detroit-Warren-Livonia, MI MSA",2001-01-01,45.0
"Detroit-Warren-Livonia, MI MSA",2001-02-01,47.0
"Detroit-Warren-Livonia, MI MSA",2001-03-01,49.0
"Detroit-Warren-Livonia, MI MSA",2001-04-01,50.0
"Detroit-Warren-Livonia, MI MSA",2001-05-01,50.0
"Detroit-Warren-Livonia, MI MSA",2001-06-01,51.0
"Detroit-Warren-Livonia, MI MSA",2001-07-01,52.0
"Detroit-Warren-Livonia, MI MSA",2001-08-01,54.0
"Detroit-Warren-Livonia, MI MSA",2001-09-01,56.0
"Detroit-Warren-Livonia, MI MSA",2001-10-01,59.0
"Detroit-Warren-Livonia, MI MSA",2001-11-01,61.0
"Detroit-Warren-Livonia, MI MSA",2001-12-01,63.0
"Detroit-Warren-Livonia, MI MSA",2002-01-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-02-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-03-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-04-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-05-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-06-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-07-01,63.0
"Detroit-Warren-Livonia, MI MSA",2002-08-01,62.0
"Detroit-Warren-Livonia, MI MSA",2002-09-01,62.0
"Detroit-Warren-Livonia, MI MSA",2002-10-01,62.0
"Detroit-Warren-Livonia, MI MSA",2002-11-01,64.0
"Detroit-Warren-Livonia, MI MSA",2002-12-01,66.0
"Detroit-Warren-Livonia, MI MSA",2003-01-01,68.0
"Detroit-Warren-Livonia, MI MSA",2003-02-01,71.0
"Detroit-Warren-Livonia, MI MSA",2003-03-01,72.0
"Detroit-Warren-Livonia, MI MSA",2003-04-01,73.0
"Detroit-Warren-Livonia, MI MSA",2003-05-01,74.0
"Detroit-Warren-Livonia, MI MSA",2003-06-01,74.0
"Detroit-Warren-Livonia, MI MSA",2003-07-01,74.0
"Detroit-Warren-Livonia, MI MSA",2003-08-01,73.0
"Detroit-Warren-Livonia, MI MSA",2003-09-01,72.0
"Detroit-Warren-Livonia, MI MSA",2003-10-01,70.0
"Detroit-Warren-Livonia, MI MSA",2003-11-01,69.0
"Detroit-Warren-Livonia, MI MSA",2003-12-01,68.0
"Detroit-Warren-Livonia, MI MSA",2004-01-01,67.0
"Detroit-Warren-Livonia, MI MSA",2004-02-01,67.0
"Detroit-Warren-Livonia, MI MSA",2004-03-01,68.0
"Detroit-Warren-Livonia, MI MSA",2004-04-01,69.0
"Detroit-Warren-Livonia, MI MSA",2004-05-01,70.0
"Detroit-Warren-Livonia, MI MSA",2004-06-01,71.0
"Detroit-Warren-Livonia, MI MSA",2004-07-01,72.0
"Detroit-Warren-Livonia, MI MSA",2004-08-01,74.0
"Detroit-Warren-Livonia, MI MSA",2004-09-01,75.0
"Detroit-Warren-Livonia, MI MSA",2004-10-01,76.0
"Detroit-Warren-Livonia, MI MSA",2004-11-01,76.0
"Detroit-Warren-Livonia, MI MSA",2004-12-01,76.0
"Detroit-Warren-Livonia, MI MSA",2005-01-01,76.0
"Detroit-Warren-Livonia, MI MSA",2005-02-01,76.0
"Detroit-Warren-Livonia, MI MSA",2005-03-01,75.0
"Detroit-Warren-Livonia, MI MSA",2005-04-01,74.0
"Detroit-Warren-Livonia, MI MSA",2005-05-01,73.0
"Detroit-Warren-Livonia, MI MSA",2005-06-01,72.0
"Detroit-Warren-Livonia, MI MSA",2005-07-01,71.0
"Detroit-Warren-Livonia, MI MSA",2005-08-01,70.0
"Detroit-Warren-Livonia, MI MSA",2005-09-01,70.0
"Detroit-Warren-Livonia, MI MSA",2005-10-01,71.0
"Detroit-Warren-Livonia, MI MSA",2005-11-01,71.0
"Detroit-Warren-Livonia, MI MSA",2005-12-01,71.0
"Detroit-Warren-Livonia, MI MSA",2006-01-01,71.0
"Detroit-Warren-Livonia, MI MSA",2006-02-01,71.0
"Detroit-Warren-Livonia, MI MSA",2006-03-01,70.0
"Detroit-Warren-Livonia, MI MSA",2006-04-01,70.0
"Detroit-Warren-Livonia, MI MSA",2006-05-01,71.0
"Detroit-Warren-Livonia, MI MSA",2006-06-01,71.0
"Detroit-Warren-Livonia, MI MSA",2006-07-01,72.0
"Detroit-Warren-Livonia, MI MSA",2006-08-01,73.0
"Detroit-Warren-Livonia, MI MSA",2006-09-01,74.0
"Detroit-Warren-Livonia, MI MSA",2006-10-01,74.0
"Detroit-Warren-Livonia, MI MSA",2006-11-01,74.0
"Detroit-Warren-Livonia, MI MSA",2006-12-01,73.0
"Detroit-Warren-Livonia, MI MSA",2007-01-01,73.0
"Detroit-Warren-Livonia, MI MSA",2007-02-01,72.0
"Detroit-Warren-Livonia, MI MSA",2007-03-01,72.0
"Detroit-Warren-Livonia, MI MSA",2007-04-01,73.0
"Detroit-Warren-Livonia, MI MSA",2007-05-01,74.0
"Detroit-Warren-Livonia, MI MSA",2007-06-01,75.0
"Detroit-Warren-Livonia, MI MSA",2007-07-01,76.0
"Detroit-Warren-Livonia, MI MSA",2007-08-01,77.0
"Detroit-Warren-Livonia, MI MSA",2007-09-01,77.0
"Detroit-Warren-Livonia, MI MSA",2007-10-01,78.0
"Detroit-Warren-Livonia, MI MSA",2007-11-01,77.0
"Detroit-Warren-Livonia, MI MSA",2007-12-01,76.0
"Detroit-Warren-Livonia, MI MSA",2008-01-01,75.0
"Detroit-Warren-Livonia, MI MSA",2008-02-01,75.0
"Detroit-Warren-Livonia, MI MSA",2008-03-01,75.0
"Detroit-Warren-Livonia, MI MSA",2008-04-01,77.0
"Detroit-Warren-Livonia, MI MSA",2008-05-01,79.0
"Detroit-Warren-Livonia, MI MSA",2008-06-01,82.0
"Detroit-Warren-Livonia, MI MSA",2008-07-01,85.0
"Detroit-Warren-Livonia, MI MSA",2008-08-01,88.0
"Detroit-Warren-Livonia, MI MSA",2008-09-01,93.0
"Detroit-Warren-Livonia, MI MSA",2008-10-01,99.0
"Detroit-Warren-Livonia, MI MSA",2008-11-01,107.0
"Detroit-Warren-Livonia, MI MSA",2008-12-01,115.0
"Detroit-Warren-Livonia, MI MSA",2009-01-01,124.0
"Detroit-Warren-Livonia, MI MSA",2009-02-01,132.0
"Detroit-Warren-Livonia, MI MSA",2009-03-01,140.0
"Detroit-Warren-Livonia, MI MSA",2009-04-01,146.0
"Detroit-Warren-Livonia, MI MSA",2009-05-01,151.0
"Detroit-Warren-Livonia, MI MSA",2009-06-01,155.0
"Detroit-Warren-Livonia, MI MSA",2009-07-01,158.0
"Detroit-Warren-Livonia, MI MSA",2009-08-01,159.0
"Detroit-Warren-Livonia, MI MSA",2009-09-01,160.0
"Detroit-Warren-Livonia, MI MSA",2009-10-01,159.0
"Detroit-Warren-Livonia, MI MSA",2009-11-01,157.0
"Detroit-Warren-Livonia, MI MSA",2009-12-01,155.0
"Detroit-Warren-Livonia, MI MSA",2010-01-01,152.0
"Detroit-Warren-Livonia, MI MSA",2010-02-01,149.0
"Detroit-Warren-Livonia, MI MSA",2010-03-01,147.0
"Detroit-Warren-Livonia, MI MSA",2010-04-01,144.0
"Detroit-Warren-Livonia, MI MSA",2010-05-01,141.0
"Detroit-Warren-Livonia, MI MSA",2010-06-01,139.0
"Detroit-Warren-Livonia, MI MSA",2010-07-01,136.0
"Detroit-Warren-Livonia, MI MSA",2010-08-01,134.0
"Detroit-Warren-Livonia, MI MSA",2010-09-01,133.0
"Detroit-Warren-Livonia, MI MSA",2010-10-01,131.0
"Detroit-Warren-Livonia, MI MSA",2010-11-01,128.0
"Detroit-Warren-Livonia, MI MSA",2010-12-01,125.0
"Detroit-Warren-Livonia, MI MSA",2011-01-01,121.0
"Detroit-Warren-Livonia, MI MSA",2011-02-01,119.0
"Detroit-Warren-Livonia, MI MSA",2011-03-01,118.0
"Detroit-Warren-Livonia, MI MSA",2011-04-01,118.0
"Detroit-Warren-Livonia, MI MSA",2011-05-01,119.0
"Detroit-Warren-Livonia, MI MSA",2011-06-01,120.0
"Detroit-Warren-Livonia, MI MSA",2011-07-01,119.0
"Detroit-Warren-Livonia, MI MSA",2011-08-01,118.0
"Detroit-Warren-Livonia, MI MSA",2011-09-01,115.0
"Detroit-Warren-Livonia, MI MSA",2011-10-01,112.0
"Detroit-Warren-Livonia, MI MSA",2011-11-01,109.0
"Detroit-Warren-Livonia, MI MSA",2011-12-01,105.0
"Detroit-Warren-Livonia, MI MSA",2012-01-01,103.0
"Detroit-Warren-Livonia, MI MSA",2012-02-01,102.0
"Detroit-Warren-Livonia, MI MSA",2012-03-01,101.0
"Detroit-Warren-Livonia, MI MSA",2012-04-01,102.0
"Detroit-Warren-Livonia, MI MSA",2012-05-01,104.0
"Detroit-Warren-Livonia, MI MSA",2012-06-01,106.0
"Detroit-Warren-Livonia, MI MSA",2012-07-01,107.0
"Detroit-Warren-Livonia, MI MSA",2012-08-01,107.0
"Detroit-Warren-Livonia, MI MSA",2012-09-01,107.0
"Detroit-Warren-Livonia, MI MSA",2012-10-01,107.0
"Detroit-Warren-Livonia, MI MSA",2012-11-01,107.0
"Detroit-Warren-Livonia, MI MSA",2012-12-01,107.0
"Detroit-Warren-Livonia, MI MSA",2013-01-01,106.0
"Detroit-Warren-Livonia, MI MSA",2013-02-01,103.0
"Detroit-Warren-Livonia, MI MSA",2013-03-01,99.0
"Detroit-Warren-Livonia, MI MSA",2013-04-01,95.0
"Detroit-Warren-Livonia, MI MSA",2013-05-01,93.0
"Detroit-Warren-Livonia, MI MSA",2013-06-01,94.0
"Detroit-Warren-Livonia, MI MSA",2013-07-01,94.0
"Detroit-Warren-Livonia, MI MSA",2013-08-01,96.0
"Detroit-Warren-Livonia, MI MSA",2013-09-01,97.0
"Detroit-Warren-Livonia, MI MSA",2013-10-01,95.0
"Edison-New Brunswick, NJ Met Div",2000-01-01,33.0
"Edison-New Brunswick, NJ Met Div",2000-02-01,33.0
"Edison-New Brunswick, NJ Met Div",2000-03-01,33.0
"Edison-New Brunswick, NJ Met Div",2000-04-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-05-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-06-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-07-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-08-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-09-01,33.0
"Edison-New Brunswick, NJ Met Div",2000-10-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-11-01,32.0
"Edison-New Brunswick, NJ Met Div",2000-12-01,32.0
"Edison-New Brunswick, NJ Met Div",2001-01-01,33.0
"Edison-New Brunswick, NJ Met Div",2001-02-01,33.0
"Edison-New Brunswick, NJ Met Div",2001-03-01,34.0
"Edison-New Brunswick, NJ Met Div",2001-04-01,35.0
"Edison-New Brunswick, NJ Met Div",2001-05-01,36.0
"Edison-New Brunswick, NJ Met Div",2001-06-01,37.0
"Edison-New Brunswick, NJ Met Div",2001-07-01,39.0
"Edison-New Brunswick, NJ Met Div",2001-08-01,41.0
"Edison-New Brunswick, NJ Met Div",2001-09-01,43.0
"Edison-New Brunswick, NJ Met Div",2001-10-01,45.0
"Edison-New Brunswick, NJ Met Div",2001-11-01,46.0
"Edison-New Brunswick, NJ Met Div",2001-12-01,48.0
"Edison-New Brunswick, NJ Met Div",2002-01-01,50.0
"Edison-New Brunswick, NJ Met Div",2002-02-01,51.0
"Edison-New Brunswick, NJ Met Div",2002-03-01,52.0
"Edison-New Brunswick, NJ Met Div",2002-04-01,53.0
"Edison-New Brunswick, NJ Met Div",2002-05-01,53.0
"Edison-New Brunswick, NJ Met Div",2002-06-01,54.0
"Edison-New Brunswick, NJ Met Div",2002-07-01,54.0
"Edison-New Brunswick, NJ Met Div",2002-08-01,54.0
"Edison-New Brunswick, NJ Met Div",2002-09-01,55.0
"Edison-New Brunswick, NJ Met Div",2002-10-01,55.0
"Edison-New Brunswick, NJ Met Div",2002-11-01,55.0
"Edison-New Brunswick, NJ Met Div",2002-12-01,55.0
"Edison-New Brunswick, NJ Met Div",2003-01-01,55.0
"Edison-New Brunswick, NJ Met Div",2003-02-01,55.0
"Edison-New Brunswick, NJ Met Div",2003-03-01,55.0
